Product ID,Style,Fabric,Colour,Textile Content,
AW23-105T-B VELVET BLACK,AW23-105T-B	,VELVET,BLACK,MAIN FABRIC  92% POLY  8% SPX LINING 1  87% POLY 13% SPX LINING 2  100% POLY ,77
SC23-001M-B DOT MESH BLACK,SC23-001M-B,DOT MESH,BLACK,BODY  55%VISCOSE 32%WOOL 7%POLYESTER 6%POLYAMIDE BELT  100% POLYESTER L.BODY  100% POLYESTER LINING  100% POLYESTER,115
SC23-002M-B FISHNET HOTFIX BLACK,SC23-002M-B,FISHNET HOTFIX,BLACK,MAIN FABRIC  94% POLYESTER 6% ELASTANELINING  87% POLYESTER 13% ELASTANE,72
SC23-003M-B MESH HOTFIX BLACK,SC23-003M-B,MESH HOTFIX,BLACK,MAIN FABRIC  95%POLYAMIDE   5% ELASTANELINING  87% POLYESTER 13% ELASTANEWAISTBAND   93%  POLYAMIDE  7% ELASTANE,112
SC23-003T-B MESH HOTFIX BLACK,SC23-003T-B,MESH HOTFIX,BLACK,MAIN FABRIC  95%POLYAMIDE   5% ELASTANELINING  87% POLYESTER 13% ELASTANE,73
SC23-007M-C LIGHTWEIGHT BOUCLE CREAM,SC23-007M-C,LIGHTWEIGHT BOUCLE,CREAM,UPPER BODY/LOWER BODY  100% POLYESTER CONTRAST  100% POLYESTER LINING  100% POLYESTER BELT  100% POLYESTER,106
SC23-007S-C LIGHTWEIGHT BOUCLE CREAM,SC23-007S-C,LIGHTWEIGHT BOUCLE,CREAM,MAIN FABRIC   100%POLYESTER LINING   100% POLYESTERCONTRAST  100% POLYESTER,75
SC23-008S-B HEAVY CREPE BLACK,SC23-008S-B,HEAVY CREPE,BLACK,MAIN FABRIC 1 100% POLYESTER  (EXCLUSIVE OF DECORATION)MAIN FABRIC 2 100% POLYAMIDELINING  100% POLYESTER,105
SC23-009J-R CHECK BOUCLE RED,SC23-009J-R,CHECK BOUCLE,RED,"MAIN FABRIC   92% POLYESTER5% WOOL3% OTHER FIBRES (METALLISED FIBRE, VISECOSE & COTTON)LINING  100% POLYESTER",109
SC23-010SK-R CHECK BOUCLE RED,SC23-010SK-R,CHECK BOUCLE,RED,"MAIN FABRIC   92% POLYESTER5% WOOL3% OTHER FIBRES (METALLISED FIBRE, VISECOSE & COTTON)LINING  100% POLYESTER",109
SC23-011J-R CHECK BOUCLE RED,SC23-011J-R,CHECK BOUCLE,RED,"MAIN FABRIC   92% POLYESTER5% WOOL3% OTHER FIBRES (METALLISED FIBRE, VISECOSE & COTTON)LINING  100% POLYESTERTRIM 100% POLYESTER",128
